Akademmistechko,Zhytomyrska,Sviatoshyn,Nyvky,Beresteiska,Shuliavska,Politekhnichnyi_Instytut,Vokzalna,Universytet,Teatralna,Jreshchatyk,Arsenalna,Dnipro,Hidropark,Livoberezhna,Darnytsia,Chernihivska,Lisova,Heroiv_Dnipra,Minska,Obolon,Pochaina,Tarasa_Sevchenka,Kontraktova_Polscha,Poschtova_Polscha,Maidan_Nezalezhnosti,Ploshcha_Lva_Tolstoho,Olimpiiska,Palats_Ukrania,Lybidska,Demiivska,Holosiivska,Vasylkiivska,Vystavkovyi_Tsentr,Ipodrom,Teremki,Syrets,Dorogozhychi,Lukianivska,Zoloti_Vorota,Palats_Sportu,Klovska,Pecherska,Druzhby_Narodiv,Vydubychi,Slavutych,Osokorky,Pozniaky,Jarkivska,Vyrlytsia,Boryspilska,Chervony_Jutir
Pecherska,13.72,12.73,11.08,10.18,9.28,7.09,5.95,3.84,3.04,2.64,2.53,1.84,2.1,3.37,4.98,6.11,7.39,8.59,11,9.88,8.76,7.17,5.77,4.63,3.71,2.53,1.98,1.66,1.47,1.8,2.97,3.99,5.24,6.64,7.53,9.02,9.34,8.2,5.46,2.64,1.98,1.21,0,1.27,3.2,5.92,6.5,7.51,8.52,9.43,10.61,11.29
Druzhby_Narodiv,14.63,13.6,12,11.13,10.26,8.12,7,4.88,4.2,3.88,3.8,2.89,2.83,3.84,5.29,6.35,7.57,8.74,12.24,11.14,10.02,8.45,7.05,5.9,4.97,3.8,3.2,2.68,1.95,1.62,2.55,3.53,4.95,6.26,7.15,8.63,10.48,9.37,6.67,3.88,3.2,2.48,1.27,0,1.93,4.8,5.45,6.56,7.65,8.62,9.83,10.58
Vydubychi,16.17,15.08,13.56,12.74,11.92,9.84,8.75,6.66,6.08,5.8,5.74,4.68,4.38,5.05,6.17,7.08,8.13,9.23,14.13,13.04,11.93,10.37,8.97,7.83,6.88,5.74,5.12,4.51,3.56,2.86,3.11,3.73,5.21,6.26,7.08,8.47,12.3,11.21,8.56,5.8,5.12,4.41,3.2,1.93,0,3.26,4.02,5.28,6.5,7.54,8.78,9.66
Slavutych,19.4,18.27,16.75,15.91,15.04,12.92,11.8,9.68,8.96,8.51,8.27,6.79,6.14,6.09,6.43,6.88,7.52,8.34,16.14,15.13,14.12,12.72,11.39,10.2,9.21,8.27,7.88,7.48,6.68,6.08,6.35,6.86,8.27,9.12,9.84,11.11,15.26,14.11,11.36,8.51,7.88,7.03,5.92,4.8,3.26,0,0.8139,2.16,3.42,4.51,5.73,6.69
Osokorky,20.07,19.02,17.45,16.58,15.72,13.56,12.43,10.32,9.54,9.07,8.78,7.23,6.51,6.29,6.42,6.75,7.25,8,16.43,15.45,14.48,13.13,11.84,10.64,9.65,8.78,8.45,8.1,7.36,6.8,7.12,7.66,9.08,9.93,10.65,11.91,15.84,14.69,11.92,9.07,8.45,7.57,6.5,5.45,4.02,0.8139,0,1.35,2.61,3.69,4.92,5.89
Pozniaky,21.18,20.14,18.54,17.66,16.77,14.6,13.45,11.35,10.51,9.97,9.62,7.99,7.2,6.74,6.54,6.64,6.91,7.47,16.89,15.96,15.05,13.79,12.56,11.36,10.38,9.62,9.4,9.14,8.49,7.99,8.39,8.97,10.4,11.27,12,13.25,16.78,15.6,12.81,9.97,9.4,8.49,7.51,6.56,5.28,2.16,1.35,0,1.27,2.35,3.57,4.55
Jarkivska,22.23,21.23,19.59,18.7,17.77,15.6,14.44,12.35,11.47,10.89,10.49,8.8,7.97,7.34,6.85,6.74,6.76,7.13,17.37,16.5,15.64,14.48,13.3,12.12,11.15,10.49,10.35,10.17,9.59,9.14,9.59,10.2,11.65,12.54,13.26,14.52,17.69,16.5,13.7,10.89,10.35,9.43,8.52,7.65,6.5,3.42,2.61,1.27,0,1.08,2.31,3.28
Vyrlytsia,23.15,22.16,20.5,19.6,18.67,16.48,15.32,13.25,12.34,11.73,11.3,9.59,8.73,7.97,7.3,7.02,6.85,7.03,17.86,17.02,16.21,15.13,13.99,12.84,11.88,11.3,11.22,11.09,10.56,10.14,10.64,11.26,12.71,13.62,14.35,15.6,18.5,17.3,14.51,11.73,11.22,10.29,9.43,8.62,7.54,4.51,3.69,2.35,1.08,0,1.24,2.2
Boryspilska,24.32,23.34,21.67,20.76,19.83,17.63,16.47,14.4,13.49,12.85,12.4,10.67,9.81,8.97,8.14,7.73,7.36,7.35,18.67,17.88,17.11,16.09,15.01,13.86,12.92,12.4,12.36,12.26,11.76,11.36,11.88,12.5,13.95,14.84,15.57,16.81,19.6,18.39,15.6,12.85,12.36,11.44,10.61,9.83,8.78,5.73,4.92,3.57,2.31,1.24,0,1.08
Chervony_Jutir,24.95,24,22.31,21.38,20.43,18.23,17.07,15.04,14.09,12.86,12.93,11.2,10.32,9.38,8.39,7.83,7.3,7.11,18.81,18.07,17.36,16.43,15.4,14.29,13.36,12.93,12.97,12.94,12.5,12.15,12.73,13.39,14.85,15.79,16.53,17.8,20.1,18.89,16.11,13.41,12.97,12.05,11.29,10.58,9.66,6.69,5.89,4.55,3.28,2.2,1.08,0
